,Figurinha,Sim 1,Sim 2,Sim 3,Sim 4,Sim 5,Sim 6,Sim 7,Sim 8,Sim 9,Sim 10,Sim 11,Sim 12,Sim 13,Sim 14,Sim 15,Sim 16,Sim 17,Sim 18,Sim 19,Sim 20,Sim 21,Sim 22,Sim 23,Sim 24,Sim 25,Sim 26,Sim 27,Sim 28,Sim 29,Sim 30,Sim 31,Sim 32,Sim 33,Sim 34,Sim 35,Sim 36,Sim 37,Sim 38,Sim 39,Sim 40,Sim 41,Sim 42,Sim 43,Sim 44,Sim 45,Sim 46,Sim 47,Sim 48,Sim 49,Sim 50,Sim 51,Sim 52,Sim 53,Sim 54,Sim 55,Sim 56,Sim 57,Sim 58,Sim 59,Sim 60,Sim 61,Sim 62,Sim 63,Sim 64,Sim 65,Sim 66,Sim 67,Sim 68,Sim 69,Sim 70,Sim 71,Sim 72,Sim 73,Sim 74,Sim 75,Sim 76,Sim 77,Sim 78,Sim 79,Sim 80,Sim 81,Sim 82,Sim 83,Sim 84,Sim 85,Sim 86,Sim 87,Sim 88,Sim 89,Sim 90,Sim 91,Sim 92,Sim 93,Sim 94,Sim 95,Sim 96,Sim 97,Sim 98,Sim 99,Sim 100,Valores,Teóricos
408,409,4,2,1,1,3,4,2,5,4,1,2,1,2,1,4,1,8,2,3,3,2,1,1,1,7,1,1,2,4,5,3,2,2,3,8,5,1,2,1,4,1,1,4,2,1,2,4,2,1,2,2,3,4,3,3,5,1,1,2,8,1,1,2,1,1,1,2,1,1,1,3,5,2,3,1,3,4,1,1,9,2,1,1,1,3,2,1,2,2,1,1,5,1,2,1,4,1,2,1,2,2.797356828193833,5.027848396048827
409,410,1,1,3,2,1,4,6,2,1,5,3,2,8,1,4,2,6,3,4,1,3,5,1,1,7,1,2,1,1,3,12,2,2,3,4,2,1,1,3,2,2,1,2,5,6,5,3,4,8,6,5,1,2,2,1,9,3,1,1,2,5,2,2,2,4,3,3,2,1,1,2,2,1,5,1,2,1,3,1,5,2,1,1,4,2,3,2,1,1,1,1,3,8,9,5,1,2,5,3,3,2.809734513274336,5.084873521810636
410,411,5,1,1,1,3,1,1,2,2,3,3,1,2,1,1,5,3,1,1,4,3,4,1,4,1,1,1,2,1,2,6,2,1,1,5,2,3,1,1,1,5,1,1,1,3,1,4,4,2,8,1,1,3,3,5,1,1,2,1,1,2,5,3,2,2,4,1,4,4,1,3,1,1,1,2,1,10,3,7,8,1,2,1,3,1,7,2,1,3,1,4,5,4,1,2,1,1,1,2,3,2.8222222222222224,5.142716049382716
411,412,3,2,1,2,2,3,8,4,2,3,10,3,1,1,3,6,2,1,2,2,1,1,1,3,2,1,10,2,3,1,1,1,2,2,1,1,1,8,1,3,1,1,1,3,5,1,5,1,1,4,4,2,2,1,1,8,3,1,2,4,1,9,2,2,12,1,1,2,3,1,7,2,2,4,1,2,5,1,1,1,1,2,5,3,1,2,2,3,5,2,13,2,2,4,2,1,3,8,3,4,2.8348214285714284,5.201391103316326
412,413,2,1,4,3,10,6,4,1,3,1,1,3,6,1,1,5,2,2,1,6,2,2,8,5,2,1,6,1,2,1,3,7,1,2,2,4,1,3,1,5,5,1,2,1,1,11,5,1,2,3,3,4,1,3,1,1,4,1,2,2,1,1,1,4,1,3,1,1,6,3,1,6,3,6,4,1,1,3,1,1,6,2,1,4,4,1,1,1,3,8,1,1,4,2,9,3,3,1,10,1,2.8475336322869955,5.2609141547185745
413,414,1,3,2,1,1,2,1,2,3,1,1,1,3,6,1,4,3,4,4,3,1,4,2,2,5,2,3,5,9,2,2,1,2,8,8,4,8,2,2,1,1,9,1,5,1,3,4,3,4,7,1,1,6,1,2,2,3,2,1,3,2,5,3,1,3,2,1,3,1,1,2,5,5,2,15,1,1,13,1,2,1,2,4,1,2,3,2,4,3,1,1,1,6,4,1,2,4,5,3,1,2.8603603603603602,5.32130103076049
414,415,4,1,1,2,1,1,9,5,2,1,1,1,6,1,5,4,6,1,3,3,2,1,1,8,1,2,2,3,1,2,1,1,3,2,7,5,3,1,1,3,2,2,3,1,3,3,2,6,4,1,1,5,1,1,4,3,6,4,6,4,3,2,3,8,1,1,6,3,1,5,6,3,1,1,1,1,1,1,1,1,1,1,2,3,3,1,4,1,1,1,1,6,1,2,1,1,3,1,3,1,2.8733031674208145,5.3825679244896705
415,416,4,5,3,1,1,6,1,1,1,4,2,3,1,1,1,1,1,2,1,2,8,5,1,1,5,6,1,5,4,2,3,10,1,12,5,1,1,1,5,15,2,3,7,3,3,5,2,4,7,1,3,2,9,1,1,4,2,2,1,9,2,3,2,1,3,2,5,5,1,3,1,3,1,1,2,1,1,1,4,1,3,2,2,1,1,1,9,1,1,2,1,2,4,2,5,1,1,1,3,1,2.8863636363636362,5.444731404958677
416,417,1,3,1,1,2,3,1,2,4,2,3,2,1,1,4,1,3,3,1,2,2,1,3,2,3,8,2,2,4,1,4,2,2,2,1,1,1,4,5,7,1,9,6,3,4,1,1,4,2,3,2,3,3,1,3,5,5,1,2,2,4,2,4,1,4,1,2,5,1,4,2,1,3,6,3,5,6,1,4,4,1,1,2,1,1,5,4,1,3,2,1,1,4,3,2,2,2,1,2,3,2.8995433789954337,5.507808427680824
417,418,3,5,9,4,1,1,1,3,6,1,3,3,1,5,1,7,1,3,1,1,2,4,2,1,1,2,2,2,2,1,6,7,1,1,1,4,4,2,6,2,1,3,1,1,1,2,1,9,3,1,6,3,2,2,5,3,2,5,1,1,9,1,1,2,3,2,1,2,4,2,3,1,5,1,1,2,2,9,1,6,4,4,3,1,1,2,1,2,6,1,1,3,1,1,11,2,5,6,1,4,2.9128440366972477,5.57181634542547
