,Figurinha,Sim 1,Sim 2,Sim 3,Sim 4,Sim 5,Sim 6,Sim 7,Sim 8,Sim 9,Sim 10,Sim 11,Sim 12,Sim 13,Sim 14,Sim 15,Sim 16,Sim 17,Sim 18,Sim 19,Sim 20,Sim 21,Sim 22,Sim 23,Sim 24,Sim 25,Sim 26,Sim 27,Sim 28,Sim 29,Sim 30,Sim 31,Sim 32,Sim 33,Sim 34,Sim 35,Sim 36,Sim 37,Sim 38,Sim 39,Sim 40,Sim 41,Sim 42,Sim 43,Sim 44,Sim 45,Sim 46,Sim 47,Sim 48,Sim 49,Sim 50,Sim 51,Sim 52,Sim 53,Sim 54,Sim 55,Sim 56,Sim 57,Sim 58,Sim 59,Sim 60,Sim 61,Sim 62,Sim 63,Sim 64,Sim 65,Sim 66,Sim 67,Sim 68,Sim 69,Sim 70,Sim 71,Sim 72,Sim 73,Sim 74,Sim 75,Sim 76,Sim 77,Sim 78,Sim 79,Sim 80,Sim 81,Sim 82,Sim 83,Sim 84,Sim 85,Sim 86,Sim 87,Sim 88,Sim 89,Sim 90,Sim 91,Sim 92,Sim 93,Sim 94,Sim 95,Sim 96,Sim 97,Sim 98,Sim 99,Sim 100,Valores,Teóricos
449,450,3,5,1,1,6,3,2,1,4,5,8,1,5,5,6,1,1,1,5,1,2,3,4,4,5,2,1,2,1,4,2,4,3,1,7,1,3,1,2,4,5,5,1,2,1,2,2,1,2,1,3,3,2,1,4,4,3,5,1,1,2,1,1,2,14,2,2,1,1,6,1,4,1,6,1,1,1,1,4,1,1,2,1,5,2,4,1,1,3,1,1,2,6,2,2,7,3,3,4,5,3.413978494623656,8.241270667129148
450,451,1,5,1,3,8,16,2,2,4,1,5,2,3,1,4,5,4,1,1,6,3,12,2,3,3,2,3,1,2,2,6,7,4,1,1,2,4,9,5,1,3,3,2,2,2,1,5,1,2,4,6,1,1,3,4,2,1,2,5,2,3,5,3,4,7,2,12,1,3,1,3,2,2,2,2,12,1,5,3,2,10,2,2,3,10,1,1,1,1,7,2,1,6,7,7,1,2,1,4,1,3.4324324324324325,8.349159970781592
451,452,1,10,1,1,7,4,1,1,1,1,4,1,1,1,9,9,4,1,6,6,9,1,3,2,1,5,6,6,3,1,1,4,1,2,4,2,3,3,1,5,9,4,1,2,3,1,5,1,4,2,1,4,5,2,2,1,10,3,1,5,2,1,1,3,9,4,4,3,1,2,5,5,2,1,1,1,1,1,6,1,3,1,4,1,2,1,2,3,3,2,3,2,11,1,1,3,9,3,1,4,3.4510869565217392,8.458914224952741
452,453,1,2,4,2,3,3,8,1,1,2,4,1,7,3,9,3,6,1,1,6,2,1,5,1,2,3,4,1,1,3,5,3,4,1,1,1,12,3,3,3,7,3,21,11,1,3,2,2,4,1,2,7,1,3,3,1,3,10,1,1,3,1,1,8,21,6,1,4,1,2,3,3,1,3,4,2,2,1,15,1,3,7,10,4,1,3,4,4,10,4,2,1,7,5,5,5,5,5,3,1,3.469945355191257,8.570575412822121
453,454,7,2,3,4,7,3,4,1,2,2,4,1,5,1,22,1,2,4,1,1,6,3,1,7,8,3,1,5,2,1,1,1,1,1,1,1,1,12,4,1,3,2,1,2,4,1,1,2,1,1,5,2,4,2,3,11,8,1,8,2,3,8,2,6,2,1,1,3,4,1,4,13,3,6,8,3,2,1,3,10,1,3,3,4,1,2,8,2,8,1,2,2,2,3,1,6,1,6,1,1,3.489010989010989,8.684186692428451
454,455,7,2,1,1,2,4,6,7,1,9,1,4,14,6,2,3,2,9,1,6,2,6,4,1,1,4,2,2,9,1,1,2,5,2,3,1,1,2,2,5,1,1,1,1,5,1,1,3,3,3,1,3,2,2,9,1,1,1,9,1,5,11,4,2,2,1,4,1,7,3,5,9,4,2,1,2,4,6,2,4,4,5,1,2,3,1,1,1,1,5,3,1,2,3,1,2,2,4,1,6,3.5082872928176796,8.799792436128323
455,456,9,3,3,4,6,4,2,8,3,3,14,1,2,4,3,6,1,1,3,5,2,1,1,4,6,7,3,8,2,2,6,2,7,4,3,2,3,1,2,6,7,3,1,5,5,11,2,2,6,3,2,1,5,3,2,3,3,2,4,1,10,1,1,1,5,6,3,2,2,5,1,1,3,3,5,4,1,1,5,4,2,3,1,4,1,12,4,4,2,2,6,1,5,3,3,1,2,2,6,1,3.5277777777777777,8.917438271604938
456,457,8,3,6,1,4,9,2,2,5,2,8,6,1,1,3,2,2,7,3,3,6,6,9,1,3,1,1,5,1,8,5,2,1,2,3,12,6,6,7,5,3,4,1,1,6,3,7,2,3,1,4,12,1,2,1,7,3,2,5,1,2,3,2,3,6,1,2,8,6,2,5,2,1,3,3,8,10,1,1,3,6,1,11,4,2,2,2,2,1,1,1,4,1,2,2,1,13,6,4,1,3.547486033519553,9.037171124496739
457,458,5,1,6,7,1,1,1,3,9,1,3,4,4,2,6,1,3,4,1,10,1,1,1,6,5,4,1,2,3,2,7,7,3,11,8,1,6,1,1,11,1,4,5,15,2,1,3,1,9,1,16,3,2,11,1,4,1,1,4,2,2,1,2,1,3,2,6,2,1,5,1,3,9,3,1,1,1,3,1,5,4,4,3,3,3,4,2,2,9,3,3,7,5,1,10,1,1,3,5,2,3.567415730337079,9.159039262719354
458,459,3,3,1,4,3,8,2,3,6,1,4,3,1,11,3,3,4,6,3,6,2,4,1,7,3,1,5,2,1,7,1,1,1,1,1,1,2,3,10,1,1,2,2,4,1,5,5,11,1,4,2,6,5,1,1,5,1,7,3,3,1,11,1,1,3,2,5,4,6,1,10,5,1,6,12,3,10,5,1,1,1,6,1,8,1,2,2,5,2,3,1,6,6,3,2,6,2,1,1,5,3.5875706214689265,9.283092342558014
459,460,8,4,3,2,1,1,7,1,2,1,2,1,1,1,2,4,2,3,2,2,1,1,5,1,1,4,4,1,2,1,1,2,13,1,3,2,6,9,1,6,2,4,1,3,3,3,6,1,7,1,6,1,1,1,5,3,2,2,10,5,1,8,6,1,12,1,6,7,2,6,7,1,3,5,3,4,3,4,6,1,1,4,3,10,3,2,7,4,1,1,4,5,9,3,1,1,4,2,2,1,3.6079545454545454,9.40938145661157
460,461,3,5,1,1,4,1,6,2,2,1,1,6,11,1,5,10,6,1,3,4,9,5,2,3,2,2,1,3,1,3,5,1,4,1,2,1,3,4,9,3,1,2,2,2,4,3,5,8,1,2,1,6,5,2,1,2,3,2,1,5,2,1,4,2,9,2,4,2,7,1,2,3,1,6,2,3,8,4,3,2,2,10,3,4,3,6,1,2,7,2,1,5,4,1,1,2,5,2,5,1,3.6285714285714286,9.53795918367347
461,462,2,3,4,1,2,1,7,3,1,1,7,1,1,1,5,4,8,9,12,4,7,1,2,2,1,3,2,3,1,3,5,1,4,2,7,1,5,6,2,10,8,1,1,13,2,3,3,5,6,5,6,3,1,13,1,11,2,4,4,2,2,1,3,7,2,4,1,4,1,2,1,1,1,3,6,6,6,7,1,1,2,2,4,1,7,1,3,3,5,2,9,1,2,2,13,1,1,2,5,3,3.6494252873563218,9.668879640639451
462,463,1,1,1,4,4,1,11,3,4,1,1,4,5,1,1,7,1,1,6,2,6,3,1,4,1,5,1,2,6,8,1,1,3,4,4,1,1,4,4,1,1,5,2,4,1,1,11,1,4,1,2,1,3,1,1,1,2,3,3,1,1,1,3,5,6,4,2,6,3,1,3,2,18,5,1,11,1,5,2,8,12,2,2,1,2,1,2,4,5,5,1,2,6,1,2,4,3,4,3,1,3.6705202312138727,9.80219853653647
463,464,4,1,5,2,1,4,7,3,5,3,3,2,5,5,4,2,2,13,8,12,3,5,10,1,2,3,1,1,3,1,4,1,1,6,2,4,4,6,4,10,5,1,4,4,10,1,1,4,8,2,1,3,8,2,3,2,2,2,4,3,8,1,4,2,3,1,7,18,4,1,3,1,2,2,1,5,1,1,1,9,1,1,2,1,5,1,3,1,9,1,2,14,1,2,2,2,2,6,4,6,3.691860465116279,9.937973228772309
464,465,4,9,2,2,5,2,5,1,3,5,4,12,1,5,6,6,1,4,2,4,2,2,5,3,2,2,2,5,3,1,3,2,2,5,3,5,1,2,3,4,7,1,4,3,2,2,1,2,5,1,16,5,3,10,2,2,5,2,6,8,1,1,7,1,4,4,5,11,1,1,3,1,4,12,2,3,4,1,6,2,1,1,4,2,3,1,4,1,4,9,1,15,1,6,4,3,2,3,5,2,3.7134502923976607,10.076262781710613
465,466,3,2,2,10,1,3,6,6,1,4,11,1,9,4,4,2,7,1,3,3,5,4,4,1,7,4,4,2,3,1,1,3,1,2,6,8,1,7,2,4,2,2,1,8,2,2,7,3,1,8,1,3,1,9,4,4,3,1,5,3,6,1,3,1,6,1,2,2,2,3,4,2,7,3,3,14,1,5,10,1,3,4,5,3,3,4,5,3,1,2,7,1,5,1,5,1,1,1,3,2,3.735294117647059,10.21712802768166
466,467,2,6,2,1,10,1,11,6,1,2,3,1,4,1,6,1,8,7,3,3,2,2,1,3,1,1,5,2,2,5,1,1,8,2,10,1,14,4,13,3,4,3,2,7,4,2,6,7,3,4,5,3,1,1,3,1,7,3,12,1,4,5,2,4,1,3,3,1,2,4,8,8,6,3,2,3,4,2,5,4,14,2,3,3,2,1,1,1,5,2,1,5,5,7,5,5,2,4,2,5,3.757396449704142,10.360631630545148
467,468,1,10,2,1,9,2,3,7,4,5,3,1,13,4,1,3,6,5,4,3,3,2,2,1,5,1,1,1,4,12,6,22,1,4,5,5,1,2,11,4,7,9,2,2,1,6,6,1,1,2,4,7,2,5,4,6,5,3,4,2,3,2,3,1,1,1,1,2,1,2,2,6,3,2,10,1,3,1,2,2,1,5,1,1,2,1,1,1,4,5,1,3,7,3,25,6,7,4,2,4,3.7797619047619047,10.506838151927438
468,469,3,3,3,9,1,3,10,6,5,6,2,1,3,3,1,1,2,11,4,1,5,2,4,3,1,11,2,2,1,2,7,5,7,7,1,4,1,4,6,5,3,16,3,2,1,2,1,1,8,1,4,1,14,3,4,2,6,9,1,1,1,5,1,4,1,2,3,8,12,1,2,1,3,2,9,2,2,2,5,3,1,6,1,4,6,1,1,5,4,1,3,6,5,3,2,3,2,8,10,3,3.802395209580838,10.65581412026247
469,470,5,2,1,9,18,8,2,6,5,2,1,1,4,1,4,1,4,2,8,3,9,12,3,1,5,4,4,1,8,4,3,2,5,2,5,2,7,8,13,1,1,1,2,2,1,2,2,3,1,2,6,3,1,1,1,3,1,2,3,3,3,3,4,4,7,4,3,1,3,2,1,3,1,1,1,2,4,5,1,1,4,4,12,1,6,2,3,3,2,8,10,5,1,1,3,8,1,1,1,3,3.825301204819277,10.807628102772536
470,471,4,2,11,14,14,1,6,2,1,5,4,3,1,3,5,2,9,1,9,4,13,1,6,2,4,3,2,1,2,1,10,3,2,4,3,1,3,3,1,5,1,3,1,4,4,1,1,3,1,1,10,1,1,1,10,6,2,1,4,2,5,1,3,6,1,10,9,22,2,2,12,2,3,5,2,2,4,3,4,1,7,8,8,2,4,3,1,13,1,9,6,1,2,6,2,4,3,2,2,2,3.8484848484848486,10.9623507805326
471,472,1,2,1,4,4,1,1,3,2,1,8,2,6,1,2,8,3,2,2,1,3,1,1,4,5,1,7,4,4,4,1,6,1,3,10,4,1,2,10,1,3,2,3,6,1,1,2,1,5,1,1,2,10,1,2,1,3,1,3,7,1,7,2,2,1,1,4,3,9,8,4,9,2,2,1,1,1,23,8,3,3,3,3,3,1,1,3,3,1,2,3,2,5,3,1,3,2,1,5,5,3.8719512195121952,11.12005502676978
472,473,1,3,5,3,3,1,3,1,3,5,1,6,3,1,5,2,2,5,4,14,6,3,2,8,3,2,2,7,3,18,8,11,1,6,9,1,3,1,10,2,1,1,2,6,7,11,3,1,4,6,5,4,6,2,3,3,5,1,1,1,2,2,2,2,1,4,5,1,5,3,1,6,2,1,5,5,3,6,7,3,2,4,3,2,1,1,5,1,10,1,3,1,1,2,1,4,8,6,1,1,3.895705521472393,11.280815988558095
473,474,12,3,3,1,2,2,1,1,1,1,4,4,9,2,2,5,1,1,5,3,3,1,3,2,1,2,3,2,2,5,1,2,2,2,5,10,5,1,4,1,5,3,4,1,7,2,3,10,2,2,4,3,2,5,1,5,1,3,1,16,3,5,4,2,5,6,3,5,4,1,12,2,1,6,10,8,1,25,4,4,5,5,2,2,5,9,4,3,2,7,3,3,5,11,2,9,9,1,2,1,3.919753086419753,11.444711172077428
474,475,4,1,2,4,1,2,9,6,2,3,1,11,4,6,1,2,2,8,5,4,3,9,3,5,17,2,8,1,5,3,8,2,2,3,6,4,1,3,3,2,1,2,3,1,8,1,8,5,1,6,1,4,5,2,8,1,1,7,3,4,15,4,1,5,7,1,6,3,1,2,4,6,1,3,3,4,4,7,5,2,5,4,3,7,8,3,1,11,3,9,11,5,2,6,3,1,1,1,9,1,3.9440993788819876,11.611820531615292
475,476,13,1,1,1,3,4,1,6,2,9,1,6,2,2,2,1,2,5,6,6,4,6,1,3,4,3,3,2,2,2,3,4,4,1,4,3,3,4,4,3,1,2,2,4,3,4,1,11,6,4,3,1,6,1,1,1,2,1,4,3,2,1,8,3,4,5,5,1,4,13,1,5,5,6,4,1,4,2,5,1,1,2,2,4,1,5,4,2,1,3,5,6,8,2,2,2,1,3,2,7,3.96875,11.7822265625
476,477,5,8,1,1,11,4,1,1,3,2,5,11,1,1,2,2,4,1,6,3,3,3,3,5,2,2,7,4,1,13,1,1,3,6,4,4,2,5,1,2,5,6,10,8,12,1,2,2,1,4,2,4,1,3,1,7,1,8,1,1,4,4,12,3,3,2,3,6,5,1,13,2,3,10,1,5,1,3,1,6,4,2,1,4,3,1,6,4,11,5,5,1,1,6,1,2,1,2,6,7,3.993710691823899,11.95601439816463
477,478,5,1,1,9,1,1,10,3,19,9,3,1,6,12,3,5,3,11,2,2,3,6,1,1,11,3,2,5,14,4,21,2,8,2,1,2,2,2,4,4,1,3,2,6,4,3,6,1,1,1,2,2,2,4,4,3,2,2,4,1,3,1,3,1,2,11,1,9,7,2,3,1,3,1,4,1,9,1,2,5,2,3,7,8,2,1,2,4,2,5,3,2,3,1,5,5,1,4,2,5,4.018987341772152,12.133271911552637
478,479,5,7,1,1,4,3,1,2,7,1,2,5,5,3,2,3,2,1,5,4,1,1,8,20,1,5,1,2,1,1,1,15,3,2,4,9,1,2,1,1,1,4,4,2,1,5,11,5,1,1,1,1,3,1,2,9,1,4,6,5,1,6,1,1,1,4,1,3,9,13,4,7,5,1,6,1,1,1,2,2,2,1,6,2,3,3,1,4,9,6,5,5,9,4,5,1,2,11,3,12,4.044585987261146,12.314089821088077
479,480,2,1,6,1,10,4,2,3,12,17,2,1,1,4,4,10,2,7,6,1,4,5,15,2,2,8,1,7,3,4,1,7,4,2,2,4,3,3,1,3,3,4,1,2,11,8,2,2,1,2,6,1,2,3,6,1,5,6,2,11,10,4,1,10,5,2,11,1,1,9,3,3,2,5,3,2,5,4,1,2,4,2,4,2,3,1,6,3,3,2,7,1,2,3,1,2,3,3,4,2,4.07051282051282,12.498561801446417
480,481,1,2,3,10,5,5,1,4,1,1,2,10,5,16,3,2,1,4,6,2,6,7,8,1,5,1,3,5,3,1,1,6,5,1,3,3,3,3,2,3,2,2,2,3,8,8,5,4,3,1,8,5,6,2,12,3,13,1,7,2,1,2,17,4,8,2,1,2,1,2,7,1,2,6,3,5,6,10,3,9,5,1,6,2,5,4,22,4,25,3,10,1,10,5,1,3,1,3,2,6,4.096774193548387,12.68678459937565
481,482,4,3,1,5,1,1,3,1,1,3,3,1,1,7,3,6,4,2,1,3,8,1,1,5,1,7,1,7,1,11,3,4,3,4,6,1,4,5,1,5,2,2,5,3,4,5,2,1,1,4,10,3,7,2,2,3,7,6,1,2,1,4,5,5,6,10,16,2,2,7,3,1,6,6,2,6,1,8,10,2,1,7,4,1,10,1,4,5,1,4,4,9,1,2,3,2,1,4,2,1,4.123376623376624,12.87885815483218
482,483,6,1,2,2,3,2,3,1,2,6,2,5,3,10,1,3,2,3,1,1,2,1,4,1,1,4,2,4,2,5,8,1,9,5,3,7,5,1,1,5,6,3,12,13,5,1,5,1,5,7,5,5,5,1,1,2,2,7,1,1,5,10,1,3,3,2,2,5,2,1,1,9,2,5,13,6,6,7,7,10,3,4,3,2,4,3,10,7,2,3,1,4,2,2,1,13,3,6,3,2,4.150326797385621,13.074885727711564
483,484,4,1,4,3,4,3,1,9,1,4,1,4,2,9,3,1,1,4,1,5,2,3,1,1,7,1,12,2,2,9,4,1,3,2,1,2,5,3,6,5,2,4,2,5,3,3,4,6,1,4,6,4,9,10,2,1,16,12,2,1,1,5,3,1,2,1,8,1,5,1,1,1,1,1,3,4,1,2,2,9,3,4,1,6,1,1,1,4,1,5,4,1,1,15,3,8,3,14,5,1,4.177631578947368,13.274974030470915
484,485,5,6,11,1,1,1,10,1,10,2,15,12,3,1,2,6,7,15,3,1,5,3,1,1,6,1,1,4,1,8,1,18,4,4,3,11,2,3,5,1,9,4,2,3,3,9,4,2,2,5,1,2,4,3,1,5,1,11,1,1,3,3,2,6,1,4,4,1,1,7,4,10,7,7,7,7,6,2,2,1,4,4,5,1,1,9,4,1,12,4,3,1,1,19,1,3,1,7,1,6,4.2052980132450335,13.47923336695759
485,486,13,8,1,3,2,3,5,11,1,5,3,7,3,14,2,2,14,12,2,1,6,7,5,1,4,5,1,4,1,5,3,4,4,1,3,1,4,3,1,2,3,1,1,1,4,2,5,1,1,7,1,1,1,8,3,1,2,7,5,3,11,4,6,6,6,12,2,12,5,3,1,6,1,7,18,3,1,3,1,4,8,3,2,5,16,3,1,1,2,2,2,7,2,8,2,2,2,2,25,5,4.233333333333333,13.687777777777777
486,487,1,4,2,3,14,11,3,2,1,3,3,4,1,1,16,1,1,4,3,1,4,2,1,10,7,13,2,1,4,9,7,3,7,2,9,9,7,5,1,2,1,5,5,1,1,4,1,11,3,1,1,9,5,8,2,14,7,3,2,7,7,2,3,1,16,4,3,2,4,2,7,2,9,1,1,4,1,1,5,3,4,7,6,3,1,3,10,6,1,8,1,8,2,14,8,6,5,1,1,1,4.261744966442953,13.900725192558895
487,488,8,10,3,6,3,1,4,5,7,3,4,7,1,2,1,18,12,1,1,2,6,5,1,16,1,4,4,4,6,4,1,4,5,4,1,4,3,5,5,4,1,11,1,3,9,4,1,4,1,2,2,4,1,1,2,2,2,4,7,3,7,3,6,2,4,4,1,1,2,5,5,1,2,10,3,4,7,5,8,17,2,29,6,6,7,1,1,10,1,9,1,6,1,8,5,8,3,1,5,3,4.29054054054054,14.118197589481372
488,489,3,6,15,1,7,1,7,1,1,4,4,3,1,3,1,7,2,1,2,2,3,3,6,2,3,2,1,2,3,7,24,11,2,2,8,8,4,1,3,7,1,4,1,1,8,6,1,23,4,1,2,2,3,4,1,3,2,3,3,4,4,3,3,10,3,3,1,1,1,11,6,1,3,1,1,6,5,3,1,1,3,4,4,8,5,2,1,6,3,3,1,6,11,1,4,5,3,6,6,4,4.319727891156463,14.340321162478597
489,490,1,1,8,6,11,15,2,2,2,11,5,7,1,5,6,1,2,8,11,3,13,3,1,1,11,5,7,1,1,11,2,7,3,1,6,9,5,5,5,7,3,10,4,1,5,4,5,3,3,4,4,3,5,1,1,11,5,2,3,9,24,2,2,1,5,3,1,1,2,3,1,2,3,5,12,3,1,1,2,3,10,2,3,1,7,11,1,4,1,10,1,2,2,9,5,6,8,4,6,2,4.3493150684931505,14.567226496528429
490,491,3,9,1,1,2,3,4,5,9,4,2,1,3,25,1,10,2,6,14,2,3,2,7,4,3,17,3,2,8,11,4,2,4,1,1,19,3,6,4,5,3,3,4,5,2,10,8,12,3,8,2,3,5,3,7,2,2,2,1,6,4,1,1,1,5,1,1,5,9,7,7,8,4,15,10,7,7,4,1,4,2,5,1,2,3,4,2,1,2,1,5,4,4,2,1,4,3,1,4,1,4.379310344827586,14.799048751486326
491,492,4,3,2,8,3,3,6,17,1,1,14,6,6,1,2,6,6,6,6,6,4,2,2,1,3,1,5,11,6,14,9,4,9,9,3,2,5,6,4,1,1,1,6,3,8,2,1,1,4,3,7,1,8,1,1,17,3,1,3,2,3,1,5,12,1,1,2,1,4,6,7,1,3,3,1,1,3,6,2,2,1,12,1,1,13,3,3,2,9,1,8,1,4,1,11,6,3,2,10,2,4.409722222222222,15.035927854938272
492,493,7,2,3,3,1,8,12,4,5,4,5,2,20,4,18,5,3,7,8,6,5,1,9,8,4,4,3,5,7,4,8,1,2,7,8,2,6,2,2,1,3,2,3,2,5,8,7,1,1,2,2,3,3,1,2,8,6,1,7,2,1,4,1,6,6,6,3,14,4,5,3,5,5,2,8,2,3,8,2,7,5,7,7,8,13,3,4,2,3,3,3,4,1,5,1,8,10,2,3,1,4.440559440559441,15.278008704582131
493,494,1,7,12,2,20,3,3,1,2,5,1,3,25,6,4,3,1,10,2,3,2,8,3,2,2,7,2,5,5,2,6,2,3,1,4,2,16,4,5,3,6,4,4,1,2,2,5,1,5,8,2,1,2,13,9,10,4,7,8,4,1,1,5,3,2,2,2,10,3,17,18,5,4,5,3,2,13,1,2,2,8,5,1,4,11,1,9,4,1,13,1,2,2,6,3,4,6,2,1,1,4.471830985915493,15.525441380678437
494,495,4,2,4,4,2,5,1,6,3,6,3,1,2,1,1,7,8,9,3,13,1,17,8,6,6,4,2,5,2,8,3,1,1,17,3,11,4,3,6,6,2,2,1,4,1,1,2,14,8,5,4,7,10,1,1,11,3,5,1,2,3,3,1,5,1,1,6,2,3,10,2,3,1,8,1,8,1,9,1,3,4,1,7,4,4,17,1,3,3,11,4,7,1,5,9,7,1,1,4,1,4.50354609929078,15.778381369146421
495,496,3,4,1,2,11,2,1,3,3,3,3,1,7,6,5,4,8,5,1,4,2,5,1,13,3,1,9,1,2,4,3,11,3,11,7,1,15,1,10,7,1,4,9,4,14,3,1,3,6,1,4,3,4,6,10,1,1,6,6,1,2,2,1,2,3,3,1,3,3,1,7,3,12,2,1,2,3,8,1,5,1,3,2,1,5,6,8,3,2,15,2,1,2,16,6,2,4,4,3,1,4.535714285714286,16.036989795918366
496,497,3,4,8,11,8,1,6,3,1,2,7,4,2,3,4,2,4,4,1,4,1,5,6,6,5,1,1,6,2,2,4,1,4,11,7,18,1,3,4,1,3,5,8,13,2,17,1,5,2,2,1,4,5,1,18,1,6,8,8,10,6,1,4,5,4,3,3,1,1,2,3,4,4,1,2,2,1,11,1,4,13,4,2,2,14,2,9,2,6,10,2,4,3,15,4,1,4,5,1,5,4.568345323741007,16.30143367320532
497,498,1,4,6,3,2,6,3,2,2,4,3,6,2,3,8,4,3,5,7,3,4,2,1,4,3,1,3,2,4,6,4,1,3,4,2,1,5,2,9,5,7,2,26,1,13,4,2,1,5,10,5,4,9,2,2,2,1,4,6,8,11,10,8,3,5,3,3,5,4,2,9,1,4,5,9,3,6,14,1,8,8,5,2,5,3,3,3,1,5,1,8,1,2,7,8,1,6,6,9,1,4.601449275362318,16.57188615837009
498,499,6,4,1,1,1,3,3,5,16,6,8,2,6,2,7,7,19,4,1,1,3,3,2,4,15,3,1,2,9,2,3,5,1,2,6,2,5,3,17,3,2,10,2,1,9,5,1,7,3,2,1,2,2,8,2,1,2,1,4,5,15,2,7,1,1,5,3,8,3,1,12,11,4,7,3,2,2,4,13,5,30,1,2,3,7,3,4,6,7,11,4,7,2,1,5,1,4,7,3,1,4.635036496350365,16.848526826149502
499,500,4,3,4,5,12,3,10,2,2,2,2,7,2,2,10,5,3,6,3,6,10,4,3,5,9,4,1,10,1,3,8,2,6,7,5,10,3,3,4,3,4,3,2,3,8,5,1,8,5,2,12,8,1,3,5,7,14,2,2,5,8,4,4,3,10,1,5,2,1,4,2,4,8,2,3,1,9,4,2,4,2,2,12,11,7,5,14,3,16,5,5,4,3,3,16,2,7,1,3,4,4.669117647058823,17.1315419550173
500,501,3,1,2,22,2,4,1,12,6,20,5,27,7,3,1,5,1,3,2,1,1,12,2,5,2,1,3,5,1,2,8,1,3,5,2,16,1,2,3,1,2,4,3,1,9,1,7,4,2,4,14,12,3,3,1,3,6,1,1,1,2,2,1,5,7,1,2,3,2,4,6,7,6,1,1,22,10,2,1,3,4,7,2,1,6,16,1,10,2,1,6,3,4,2,1,4,1,9,2,7,4.703703703703703,17.421124828532236
501,502,2,1,5,5,2,3,4,11,5,5,15,3,5,1,4,1,5,3,2,1,4,1,9,4,5,1,7,12,6,4,5,2,21,10,2,2,1,13,2,5,4,2,2,1,1,1,5,2,1,1,1,2,5,7,2,2,1,4,4,4,5,8,1,17,3,1,2,5,2,2,1,2,1,4,1,2,2,13,1,6,4,5,1,8,5,4,4,2,2,1,20,2,6,5,2,3,4,4,25,8,4.7388059701492535,17.717476052572955
502,503,1,12,3,13,2,3,3,9,4,13,4,10,4,4,2,11,2,7,3,2,1,1,3,1,1,9,11,10,7,12,2,5,7,3,2,4,4,13,15,1,5,1,3,2,1,4,5,4,4,2,8,4,4,3,1,1,2,2,27,1,4,2,7,2,5,13,1,2,1,5,1,8,5,2,3,4,19,6,2,5,3,2,2,2,2,7,3,2,4,1,4,2,4,15,2,4,3,6,4,9,4.774436090225564,18.020803889422805
503,504,2,16,1,16,3,7,2,2,4,6,1,2,2,5,8,2,2,3,2,1,2,9,10,8,6,1,2,9,3,11,3,1,3,11,2,3,6,3,3,5,3,1,7,3,4,2,6,8,2,3,12,4,2,5,12,2,2,4,2,1,1,19,11,6,7,3,9,3,2,1,1,4,1,6,4,5,3,4,1,1,7,8,1,1,3,1,5,4,5,7,1,9,4,1,4,6,6,4,8,24,4.8106060606060606,18.331324609733702
504,505,16,1,1,2,1,3,8,3,2,2,1,10,1,1,5,2,2,7,5,17,3,2,3,8,6,2,2,4,7,6,8,3,9,3,1,1,1,11,6,7,1,7,12,19,2,26,7,6,11,1,7,3,4,1,6,10,6,1,10,1,4,2,2,6,8,1,5,2,3,12,3,9,5,3,2,7,2,8,4,3,11,3,5,5,11,1,1,3,7,1,6,2,9,9,3,7,11,9,2,10,4.847328244274809,18.649262863469495
505,506,7,1,2,1,6,6,8,10,6,3,6,1,1,1,1,11,5,1,4,4,6,2,4,1,12,2,8,20,3,2,2,11,4,3,3,1,9,8,13,9,5,1,10,7,1,2,2,5,3,8,1,3,4,3,6,1,1,6,4,12,6,1,4,9,5,1,8,4,10,4,5,2,1,6,4,1,1,7,3,3,5,2,4,11,11,8,3,15,3,1,2,1,5,5,6,11,3,2,6,1,4.884615384615385,18.974852071005916
506,507,3,5,4,12,5,5,6,8,10,1,17,3,2,9,8,3,8,9,9,3,3,6,1,3,4,2,1,2,9,1,2,3,8,13,8,4,1,1,1,3,5,3,7,10,3,2,14,9,13,4,2,2,5,1,20,4,4,5,3,6,5,21,3,6,2,16,2,2,4,5,11,8,11,4,9,2,12,21,12,4,2,3,4,6,9,4,15,1,12,4,6,1,1,7,11,7,6,1,1,9,4.922480620155039,19.308334835646896
507,508,5,15,9,6,3,4,3,7,1,3,27,12,1,3,2,3,1,1,8,5,1,2,5,5,5,2,9,1,2,1,12,1,3,6,6,2,1,31,18,3,10,4,7,10,7,1,2,3,1,7,2,2,7,12,1,8,2,4,4,12,5,1,6,5,3,1,2,2,4,11,6,13,1,4,1,3,2,3,5,3,1,6,2,3,5,14,11,2,2,1,5,3,2,13,10,4,1,1,4,3,4.9609375,19.64996337890625
508,509,7,3,1,5,4,8,6,1,4,1,4,5,1,19,4,1,1,4,9,4,10,12,1,3,1,3,5,14,1,2,2,1,5,1,6,3,9,7,3,3,1,3,3,4,3,12,12,12,2,4,1,3,2,2,2,1,3,3,4,1,4,2,5,6,3,6,8,6,14,2,3,15,13,1,3,1,1,6,9,9,6,2,6,3,1,5,1,1,2,8,6,9,2,5,5,3,3,4,2,12,5.0,20.0
